data de publicação,UF,Unidade da Federação,Tipo,dado,escala,Ano epidemiológico,Semana epidemiológica,Situação do dado,Casos semanais reportados até a última atualização,limite inferior da estimativa,casos estimados,média móvel,limite superior da estimativa,Percentual em relação ao país,População,limiar pré-epidêmico,intensidade alta,intensidade muito alta,nível semanal,nível por média móvel
2020-11-04,0,Brasil,País,srag,casos,2009,1,Dado estável. Sujeito a pequenas alterações.,0.0,,,,,,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,
2020-11-04,0,Brasil,País,srag,casos,2009,2,Dado estável. Sujeito a pequenas alterações.,0.0,,,0.0,,,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,3,Dado estável. Sujeito a pequenas alterações.,0.0,,,0.0,,,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,4,Dado estável. Sujeito a pequenas alterações.,0.0,,,0.0,,,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,5,Dado estável. Sujeito a pequenas alterações.,0.0,,,0.0,,,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,6,Dado estável. Sujeito a pequenas alterações.,0.0,,,0.0,,,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,7,Dado estável. Sujeito a pequenas alterações.,0.0,,,0.0,,,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,8,Dado estável. Sujeito a pequenas alterações.,0.0,,,0.0,,,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,9,Dado estável. Sujeito a pequenas alterações.,0.0,,,0.0,,,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,10,Dado estável. Sujeito a pequenas alterações.,0.0,,,0.0,,,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,11,Dado estável. Sujeito a pequenas alterações.,0.0,,,0.0,,,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,12,Dado estável. Sujeito a pequenas alterações.,0.0,,,0.0,,,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,13,Dado estável. Sujeito a pequenas alterações.,0.0,,,0.0,,,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,14,Dado estável. Sujeito a pequenas alterações.,0.0,,,0.0,,,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,15,Dado estável. Sujeito a pequenas alterações.,0.0,,,4.0,,,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,16,Dado estável. Sujeito a pequenas alterações.,13.0,,,11.0,,100.0,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,17,Dado estável. Sujeito a pequenas alterações.,19.0,,,21.0,,100.0,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,18,Dado estável. Sujeito a pequenas alterações.,30.0,,,25.0,,100.0,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,19,Dado estável. Sujeito a pequenas alterações.,25.0,,,25.0,,100.0,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,20,Dado estável. Sujeito a pequenas alterações.,21.0,,,24.0,,100.0,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,21,Dado estável. Sujeito a pequenas alterações.,27.0,,,28.0,,100.0,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,22,Dado estável. Sujeito a pequenas alterações.,35.0,,,39.0,,100.0,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,23,Dado estável. Sujeito a pequenas alterações.,54.0,,,86.0,,100.0,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,24,Dado estável. Sujeito a pequenas alterações.,170.0,,,239.0,,100.0,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor baixo,Verde
2020-11-04,0,Brasil,País,srag,casos,2009,25,Dado estável. Sujeito a pequenas alterações.,494.0,,,412.0,,100.0,193543969,512.9999999999993,1345.9999999999993,1856.9999999999993,valor epidêmico,Verde
